,n,identifier,prob_member,Otype,RA,RA_J2000,DE,DE_J2000,Sp_type,idHip,rac,dec,dist,cercanaHip
177,182,V* V911 Tau,100,BY* ,04 26 40.1215,4.44448,+16 44 48.8394 ,16.7469,G2V ,,24.0,31.0,2.236067978209548e-06,20741
149,151,HD 27731,100,*iC ,04 23 30.4008,4.391780000000002,+24 24 19.4522 ,24.4054,F5 ,HD 27731,23.0,49.0,2.8284271245135053e-06,20491
138,140,HR 1233,100,*iC ,03 59 40.4983,3.994580000000001,+10 19 49.4209 ,10.3304,F5V ,,17.0,17.0,2.828427125769579e-06,18658
29,31,LP 15-640,100,PM* ,04 30 46.7958,4.513,+16 08 55.3067 ,16.1487,F2 ,,25.0,30.0,4.123105629640618e-06,21053
115,117,V* V1099 Tau,100,El* ,04 15 46.2845,4.26286,+15 24 02.5048 ,15.4007,F5V ,,21.0,28.0,5.8309518944417674e-06,19877
45,47,HD 27732,100,*iC ,04 23 22.3299,4.38954,+21 22 44.7503 ,21.3791,G5 ,HD 27732,23.0,42.0,6.403124239021415e-06,20480
26,28,HD 28363,100,** ,04 28 59.7714,4.48327,+16 09 32.7481 ,16.1591,F8 ,HD 28363,25.0,30.0,7.99999999756551e-06,20916
54,56,NAME PHI 342,100,* ,04 25 37.3167,4.42703,+15 56 27.6464 ,15.940999999999999,F7V ,,24.0,30.0,1.0440306508413218e-05,20661
12,13,V* V993 Tau,100,BY* ,04 27 35.8898,4.459969999999998,+15 35 21.0834 ,15.5892,G0 ,,24.0,29.0,1.2041594578631464e-05,20815
79,81,HR 1279,100,** ,04 07 41.9834,4.12833,+15 09 46.0260 ,15.1628,F3V ,,19.0,28.0,1.2041594578705224e-05,19261
80,82,HD 27561,100,*iC ,04 21 34.7950,4.35967,+14 24 35.2361 ,14.4098,F5V ,HD 27561,23.0,26.0,1.208304597212275e-05,20357
88,90,HD 26784,100,*iC ,04 14 34.3404,4.24287,+10 42 04.9715 ,10.7014,F8V ,HD 26784,21.0,17.0,1.236931687685862e-05,19796
33,35,* 55 Tau,100,* ,04 19 54.8572,4.3319,+16 31 21.3283 ,16.5226,F9V ,,22.0,31.0,1.3000000001475509e-05,20215
84,86,* del Tau,100,*i* ,04 22 56.0925,4.38225,+17 32 33.0487 ,17.5425,K0III ,,23.0,33.0,1.41421356238236e-05,20455
35,37,HD 28911,100,*iC ,04 33 46.6421,4.56296,+13 15 06.7808 ,13.2519,F2 ,HD 28911,26.0,23.0,1.7464249196216966e-05,21267
86,88,HR 1201,100,*iC ,03 53 10.0463,3.88612,+17 19 37.5010 ,17.3271,F4V ,,16.0,33.0,1.746424919977695e-05,18170
65,67,V* V921 Tau,100,BY* ,04 29 31.6068,4.49211,+17 53 35.4664 ,17.8932,G5 ,,25.0,34.0,1.8248287591547164e-05,20951
1,2,HD 27534,100,*iC ,04 21 32.2681,4.35896,+18 25 03.2915 ,18.4176,F5V ,HD 27534,23.0,35.0,1.8439088915429094e-05,20350
114,116,* 77 Tau,100,* ,04 28 34.4960,4.47625,+15 57 43.8494 ,15.9622,K0IIIb ,,25.0,30.0,1.9026297590439054e-05,20885
55,57,V* V938 Tau,100,BY* ,04 34 35.3092,4.57647,+15 30 16.6280 ,15.5046,F8 ,,26.0,29.0,2.0615528129246578e-05,21317
50,52,HD 27771,100,*iC ,04 23 32.3310,4.39231,+14 40 13.7170 ,14.6705,G5 ,HD 27771,23.0,27.0,2.236067977621684e-05,20492
39,41,HD 27524,100,*iC ,04 21 31.6495,4.35879,+21 02 23.5618 ,21.0399,F5V ,HD 27524,23.0,41.0,2.302172886522391e-05,20349
96,98,* 61 Ori,100,* ,06 02 22.9967,6.03972,+09 38 50.1820 ,9.6473,~ ,,49.0,15.0,2.3086792760033223e-05,28614
166,170,LP 19-731,100,PM* ,04 30 17.9716,4.50499,+19 50 26.0745 ,19.8406,F5 ,,25.0,39.0,2.408318915379625e-05,21008
160,164,HD 30810,100,* ,04 51 12.5335,4.85348,+11 04 04.8862 ,11.068,F6V ,HD 30810,30.0,18.0,2.607680962084519e-05,22550
155,158,HD 29225,100,*iC ,04 36 40.7226,4.61131,+15 52 09.5861 ,15.8693,F8 ,HD 29225,27.0,29.0,2.906888370713009e-05,21474
143,145,V* V984 Tau,100,BY* ,04 16 33.4779,4.27597,+21 54 26.8946 ,21.9075,G5 ,,22.0,43.0,3.1256999216026564e-05,19934
20,22,HD 28608,100,*iC ,04 30 57.1716,4.51588,+10 45 06.3729 ,10.7518,F5 ,HD 28608,25.0,18.0,3.20156211880606e-05,21066
106,108,* eps Tau,100,* ,04 28 36.9988,4.47694,+19 10 49.5446 ,19.1804,K0III ,,25.0,37.0,3.2249030994176615e-05,20889
13,14,LTT 10969,100,PM* ,02 58 05.2222,2.96812,+20 40 07.4544 ,20.6687,F5IV ,,2.0,41.0,3.313608304996156e-05,13834
64,66,V* V897 Tau,100,BY* ,04 24 28.3245,4.40787,+16 53 10.2003 ,16.8862,G2V ,,24.0,32.0,3.4058772731293596e-05,20577
112,114,HD 28033,100,* ,04 26 18.4976,4.43847,+21 28 13.5452 ,21.4704,F8V ,HD 28033,24.0,42.0,3.4058772731293596e-05,20712
167,171,* 101 Tau,100,*i* ,04 59 44.3224,4.99565,+15 55 00.2363 ,15.9167,F5V ,,33.0,30.0,3.436568055441037e-05,23214
40,42,HR 1436,100,*iC ,04 32 04.8086,4.534669999999998,+05 24 36.1483 ,5.41,F5V ,,26.0,5.0,3.501428279956515e-05,21152
91,93,HD 26756,100,*iC ,04 14 25.6507,4.24046,+14 37 30.1249 ,14.625,G5V ,HD 26756,21.0,27.0,3.505709628633209e-05,19781
127,129,HD 28394,100,* ,04 29 20.5536,4.48904,+17 32 41.7705 ,17.5449,G0 ,HD 28394,25.0,33.0,3.512833614091024e-05,20935
147,149,V* V920 Tau,100,BY* ,04 28 48.2971,4.48008,+17 17 07.6666 ,17.2855,G2V ,,25.0,33.0,3.605551275258517e-05,20899
89,91,HD 28406,100,*i* ,04 29 30.3507,4.49176,+17 51 47.3860 ,17.8632,F8 ,HD 28406,25.0,34.0,3.721558813078201e-05,20948
83,85,HD 27685,100,*iC ,04 22 44.7647,4.3791,+16 47 27.6645 ,16.791,G4V ,HD 27685,23.0,32.0,4.044749683080847e-05,20441
175,180,V* V985 Tau,100,BY* ,04 18 19.2722,4.30535,+16 05 18.0306 ,16.0883,K0 ,,22.0,30.0,4.1194659847662186e-05,20082
124,126,* gam Tau,100,V* ,04 19 47.6039,4.32989,+15 37 39.5154 ,15.6276,K0III ,,22.0,29.0,4.200000000231796e-05,20205
171,176,HD 27808,100,*iC ,04 24 14.5743,4.40405,+21 44 10.4811 ,21.7362,F8V ,HD 27808,24.0,43.0,4.4011362168378996e-05,20557
103,105,HD 30738,100,* ,04 50 48.5431,4.84682,+16 12 37.6201 ,16.2105,F8 ,HD 30738,30.0,30.0,4.504442251830593e-05,22524
30,32,HD 28069,100,*iC ,04 25 57.3384,4.43259,+05 09 00.5164 ,5.1501,F5 ,HD 28069,24.0,5.0,4.517742799146472e-05,20693
6,7,HD 30869,100,* ,04 51 49.9877,4.8638900000000005,+13 39 18.5484 ,13.6552,F5 ,HD 30869,31.0,24.0,4.5177427994197433e-05,22607
73,75,V* V1116 Tau,100,dS* ,04 36 29.1383,4.60809,+23 20 27.0897 ,23.3409,F5IV ,,27.0,47.0,4.5177427995966804e-05,21459
104,106,* 45 Tau,100,*i* ,04 11 20.2816,4.1889699999999985,+05 31 22.9778 ,5.523,F4V ,,20.0,5.0,4.7095647357588205e-05,19554
87,89,HD 26345,100,*iC ,04 10 42.3640,4.1784300000000005,+18 25 23.7108 ,18.4233,F6V ,HD 26345,20.0,35.0,4.726520919438864e-05,19504
173,178,HD 20439,100,*iC ,03 17 32.7814,3.29244,+07 41 24.5557 ,7.6902,G0 ,HD 20439,7.0,10.0,4.8010415536238125e-05,15310
168,172,HD 27848,100,*iC ,04 24 22.2714,4.4061900000000005,+17 04 44.2289 ,17.079,F8 ,HD 27848,24.0,32.0,4.9091750835190634e-05,20567
133,135,LP 414-2008,75,LM? ,04 17 32.2400,4.29229,+16 56 59.1 ,16.9498,~ ,,22.0,32.0,0.002688323083260973,20019
52,54,[BKM2008] HC10c10-1796l,25,* ,04 18 27.0000,4.3075,+17 24.7 ,17.4117,~ ,,22.0,33.0,0.010037846482190705,20086
118,120,2MASS J04342103+1451171,75,LM? ,04 34 21.0400,4.57251,+14 51 17.2 ,14.8548,~ ,,26.0,27.0,0.013328590773221728,21273
116,118,2MASS J04172478+1634364,75,BD* ,04 17 24.7870,4.29022,+16 34 36.48 ,16.5768,M8 ,,22.0,31.0,0.01387501531530638,20011
92,94,2MASS J04263219+1800280,25,* ,04 26 32.2000,4.44228,+18 00 28.0 ,18.0078,~ ,,24.0,34.0,0.015605396118009781,20679
17,18,[BKM2008] HC13c09-1062l,25,* ,04 27 30.0000,4.45833,+13 51.1 ,13.8517,~ ,,24.0,25.0,0.01885121547805497,20850
9,10,Cl* Melotte 25 LH 117,25,*iC ,04 26 47.9200,4.44664,+14 11 59.7 ,14.1999,~ ,,24.0,26.0,0.020856688615404944,20740
153,156,[BKM2008] HC21c11-74l,25,* ,04 36 46.1000,4.61281,+14 19 37 ,14.3269,~ ,,27.0,26.0,0.027919428146005617,21542
117,119,2MASS J04304258+1439416,75,LM? ,04 30 42.5900,4.511830000000002,+14 39 41.6 ,14.6616,~ ,,25.0,27.0,0.02927357432907873,21090
28,30,[BKM2008] HC15c10-170l,25,* ,04 33 31.0000,4.55861,+14 09.7 ,14.1617,~ ,,26.0,25.0,0.02969664469262408,21132
46,48,V* V997 Tau,100,BY* ,04 32 59.4482,4.54985,+15 49 08.292 ,15.819,G5 ,,26.0,29.0,0.03760078770451487,21137
129,131,[BKM2008] HA9Ic02-266l,25,* ,04 28 27.5000,4.47431,+15 42 23 ,15.7064,~ ,,25.0,29.0,0.03927592761476188,21039
152,155,2MASS J04303535+1445320,25,* ,04 30 35.3500,4.50982,+14 45 32.0 ,14.7589,~ ,,25.0,27.0,0.04080176325846703,20873
142,144,2MASS J04204957+1553323,25,* ,04 20 49.5700,4.3471,+15 53 32.3 ,15.8923,~ ,,23.0,30.0,0.04159656001401976,20290
42,44,Cl* Melotte 25 VA 241,0,*iC ,04 22 32.7000,4.37575,+15 51 24.9 ,15.8569,~ ,,23.0,29.0,0.04160728211503385,20605
71,73,[BKM2008] HA9Ic06-243s,25,* ,04 27 04.7000,4.4513099999999985,+15 24 29 ,15.4081,~ ,,24.0,28.0,0.04342973050802817,20810
77,79,Cl* Melotte 25 LH 111,25,*iC ,04 27 18.7000,4.45519,+13 55 07.8 ,13.9188,~ ,,24.0,25.0,0.04433878674479056,20952
41,43,[BKM2008] HA8Ic00-3532l,25,* ,04 23 50.0000,4.39722,+16 50.2 ,16.8367,~ ,,23.0,32.0,0.04605331133588495,20719
99,101,[BKM2008] HA10c04-641l,25,* ,04 25 24.0000,4.42333,+15 39.7 ,15.6617,~ ,,24.0,29.0,0.04620751508142425,20713
169,173,[BKM2008] HB17c06-999l,25,* ,04 30 13.2000,4.50367,+16 43 09 ,16.7192,~ ,,25.0,31.0,0.046559082905486736,20978
70,72,Cl* Melotte 25 VA 273,25,*iC ,04 23 25.8100,4.3905,+17 53 45.7 ,17.896,~ ,,23.0,34.0,0.04686926862028002,20648
136,138,[BKM2008] HB1Ic03-1536l,25,* ,04 26 20.8000,4.43911,+17 28 22 ,17.4728,~ ,,24.0,33.0,0.04721195823094024,20542
75,77,[BKM2008] HA12c07-101l,25,* ,04 26 12.8000,4.43689,+14 50 29 ,14.8414,~ ,,24.0,27.0,0.048112088169191006,20898
161,165,2MASS J04190576+1734235,75,LM? ,04 19 05.7700,4.31827,+17 34 23.5 ,17.5732,~ ,,22.0,33.0,0.04845497953771112,20146
66,68,LP 415-35,75,LM? ,04 23 12.4600,4.38679,+15 42 46.3 ,15.7129,~ ,,23.0,29.0,0.05033946488591345,20485
102,104,[BKM2008] HB2Ic07-287l,25,* ,04 26 50.2000,4.44728,+17 39 30 ,17.6583,~ ,,24.0,34.0,0.053054414114189034,20971
19,21,[BKM2008] HB12c10-1327l,25,* ,04 30 52.0000,4.5144400000000005,+14 26.7 ,14.445,~ ,,25.0,26.0,0.05815461615383551,20827
51,53,[BKM2008] HC19c03-2076l,25,* ,04 29 21.0000,4.48917,+13 40.2 ,13.67,~ ,,25.0,24.0,0.058390061525913715,21036
132,134,Cl* Melotte 25 CFHT 20,75,LM? ,04 30 38.7000,4.51075,+13 09 57 ,13.1658,~ ,,25.0,23.0,0.06038227641452465,21179
53,55,[BKM2008] HC13c00-520l,25,* ,04 25 52.9000,4.43136,+14 06 11 ,14.1031,~ ,,24.0,25.0,0.06068668645592619,20527
122,124,[BKM2008] HB9Ic07-234l,25,* ,04 23 27.0000,4.39083,+14 17.4 ,14.29,~ ,,23.0,26.0,0.06389211062408216,20197
156,159,Cl* Melotte 25 VA 477,25,*iC ,04 28 14.2000,4.47061,+16 58 00 ,16.9667,~ ,,25.0,32.0,0.06609036202806164,20756
11,12,[BKM2008] HB7Ic08-324l,25,* ,04 21 33.0000,4.35917,+15 09.8 ,15.1633,~ ,,23.0,28.0,0.0696511156335636,20261
5,6,[BKM2008] HA2Ic03-781s,75,LM? ,04 27 06.6000,4.45183,+16 25 46 ,16.4294,~ ,,24.0,31.0,0.0731652118701243,20877
27,29,[BKM2008] HA1Ic09-735l,25,* ,04 27 20.4000,4.45567,+15 48 00 ,15.8,~ ,,24.0,29.0,0.07422927310030579,20894
