"","n","identifier","prob_member","Otype","RA","RA_J2000","DE","DE_J2000","Sp_type","idHip","rac","dec","dist","cercanaHip","idcruzHip"
"90",91,"HD 28406",100,"*i* ","04 29 30.3507",4.49176,"+17 51 47.3860 ",17.8632,"F8 ",TRUE,25,34,3.7215588130782e-05,20948,20948
"91",92,"Cl* Melotte 25 LH 71",25,"*iC ","04 31 12.4100",4.52011,"+17 09 42.4 ",17.1618,"~ ",FALSE,25,32,0.0750710648985357,21365,NA
"92",93,"HD 26756",100,"*iC ","04 14 25.6507",4.24046,"+14 37 30.1249 ",14.625,"G5V ",TRUE,21,27,3.50570962863321e-05,19781,19781
"93",94,"2MASS J04263219+1800280",25,"* ","04 26 32.2000",4.44228,"+18 00 28.0 ",18.0078,"~ ",FALSE,24,34,0.0156053961180091,20679,NA
"94",95,"Cl* Melotte 25 LH 78",25,"*iC ","04 30 41.8500",4.51163,"+17 19 42.8 ",17.3286,"~ ",FALSE,25,33,0.0534414707881439,20899,NA
"95",96,"[BKM2008] HB15c00-4l",25,"* ","04 32 09.9000",4.53608,"+16 03 28 ",16.0578,"~ ",FALSE,26,30,0.0937806769915858,21053,NA
"96",97,"[BKM2008] HB17c08-2177l",25,"* ","04 31 18.0000",4.52167,"+16 49.6 ",16.8267,"~ ",FALSE,25,32,0.0857388120106643,20719,NA
"97",98,"* 61 Ori",100,"* ","06 02 22.9967",6.03972,"+09 38 50.1820 ",9.6473,"~ ",FALSE,49,15,2.30867927600332e-05,28614,NA
"98",99,"[BKM2008] HB7Ic10-1289l",25,"* ","04 22 35.3000",4.37647,"+15 15 24 ",15.2567,"~ ",FALSE,23,28,0.136435266599219,20810,NA
"99",100,"2MASS J04360314+1435369",25,"* ","04 36 03.1500",4.60088,"+14 35 37.0 ",14.5936,"~ ",FALSE,27,26,0.249380427499834,21942,NA
"100",101,"[BKM2008] HA10c04-641l",25,"* ","04 25 24.0000",4.42333,"+15 39.7 ",15.6617,"~ ",FALSE,24,29,0.0462075150814242,20713,NA
"101",102,"LP 415-367",75,"LM? ","04 23 01.4900",4.38375,"+15 13 41.6 ",15.2282,"~ ",FALSE,23,28,0.138738152319396,20261,NA
"102",103,"[BKM2008] HB2Ic08-992l",25,"* ","04 27 01.8000",4.4505,"+17 44 54 ",17.7483,"~ ",FALSE,24,34,0.0844605707830576,20971,NA
"103",104,"[BKM2008] HB2Ic07-287l",25,"* ","04 26 50.2000",4.44728,"+17 39 30 ",17.6583,"~ ",FALSE,24,34,0.0530544141141903,20971,NA
"104",105,"HD 30738",100,"* ","04 50 48.5431",4.84682,"+16 12 37.6201 ",16.2105,"F8 ",TRUE,30,30,4.50444225183059e-05,22524,22524
"105",106,"* 45 Tau",100,"*i* ","04 11 20.2816",4.18897,"+05 31 22.9778 ",5.523,"F4V ",FALSE,20,5,4.70956473576448e-05,19554,NA
"106",107,"[BKM2008] HA7Ic07-180l",25,"* ","04 27 34.0000",4.45944,"+16 37.2 ",16.62,"~ ",FALSE,24,31,0.0662298319566037,20978,NA
"107",108,"* eps Tau",100,"* ","04 28 36.9988",4.47694,"+19 10 49.5446 ",19.1804,"K0III ",FALSE,25,37,3.22490309940665e-05,20889,NA
"108",109,"Cl* Melotte 25 LH 246",25,"*iC ","04 16 58.8800",4.28302,"+17 06 09.9 ",17.1028,"~ ",FALSE,22,32,0.155340240700854,20019,NA
"109",110,"2MASS J04220448+1639453",25,"* ","04 22 04.4800",4.36791,"+16 39 45.4 ",16.6626,"~ ",FALSE,23,31,0.105340476788365,20011,NA
"110",111,"[BKM2008] HC09c11-32s",25,"* ","04 18 21.4000",4.30594,"+16 51 34 ",16.8594,"~ ",FALSE,22,32,0.0775605967292681,20352,NA
"111",112,"Cl* Melotte 25 VA 562",25,"*iC ","04 29 59.1540",4.49977,"+16 03 01.23 ",16.0503,"~ ",FALSE,25,30,0.0912041424607463,20885,NA
"112",113,"Cl* Melotte 25 CFHT 21",75,"LM? ","04 29 22.7000",4.48964,"+15 35 29 ",15.5914,"~ ",FALSE,25,29,0.0297533390563139,20815,NA
"113",114,"HD 28033",100,"* ","04 26 18.4976",4.43847,"+21 28 13.5452 ",21.4704,"F8V ",TRUE,24,42,3.40587727312936e-05,20712,20712
"114",115,"[BKM2008] HB8Ic08-171l",25,"* ","04 21 17.2000",4.35478,"+14 26 54 ",14.4483,"~ ",FALSE,23,26,0.0388195871436055,20357,NA
"115",116,"* 77 Tau",100,"* ","04 28 34.4960",4.47625,"+15 57 43.8494 ",15.9622,"K0IIIb ",FALSE,25,30,1.90262975904391e-05,20885,NA
"116",117,"V* V1099 Tau",100,"El* ","04 15 46.2845",4.26286,"+15 24 02.5048 ",15.4007,"F5V ",FALSE,21,28,5.83095189444177e-06,19877,NA
"117",118,"2MASS J04172478+1634364",75,"BD* ","04 17 24.7870",4.29022,"+16 34 36.48 ",16.5768,"M8 ",FALSE,22,31,0.0138750153153099,20011,NA
"118",119,"2MASS J04304258+1439416",75,"LM? ","04 30 42.5900",4.51183,"+14 39 41.6 ",14.6616,"~ ",FALSE,25,27,0.0292735743290773,21090,NA
"119",120,"2MASS J04342103+1451171",75,"LM? ","04 34 21.0400",4.57251,"+14 51 17.2 ",14.8548,"~ ",FALSE,26,27,0.0133285907732209,21273,NA
"120",121,"[BKM2008] HA7Ic02-927l",25,"* ","04 28 11.9000",4.46997,"+16 57 33 ",16.9592,"~ ",FALSE,25,32,0.0729660339678701,20756,NA
"121",122,"[BKM2008] HB12c02-1504l",25,"* ","04 29 45.8000",4.49606,"+14 39 10 ",14.6528,"~ ",FALSE,25,27,0.0439046862419044,21090,NA
"122",123,"[BKM2008] HB13c09-22s",25,"* ","04 32 25.8000",4.5405,"+14 35 44 ",14.5956,"~ ",FALSE,26,26,0.0964635331822351,21090,NA
"123",124,"[BKM2008] HB9Ic07-234l",25,"* ","04 23 27.0000",4.39083,"+14 17.4 ",14.29,"~ ",FALSE,23,26,0.0638921106240826,20197,NA
"124",125,"[BKM2008] HB6Ic09-322l",25,"* ","04 21 53.4000",4.36483,"+15 32 27 ",15.5408,"~ ",FALSE,23,29,0.093607353151341,20205,NA
"125",126,"* gam Tau",100,"V* ","04 19 47.6039",4.32989,"+15 37 39.5154 ",15.6276,"K0III ",FALSE,22,29,4.20000000005416e-05,20205,NA
"126",127,"2MASS J04221413+1530525",25,"BD* ","04 22 14.1320",4.37059,"+15 30 52.52 ",15.5146,"M6: ",FALSE,23,29,0.116412951964118,20815,NA
"127",128,"[BKM2008] HB13c07-1564l",25,"* ","04 31 15.5000",4.52097,"+14 43 56 ",14.7322,"~ ",FALSE,25,27,0.0424239238402112,21090,NA
"128",129,"HD 28394",100,"* ","04 29 20.5536",4.48904,"+17 32 41.7705 ",17.5449,"G0 ",TRUE,25,33,3.51283361409102e-05,20935,20935
"129",130,"[BKM2008] HB13c11-245l",25,"* ","04 33 25.4000",4.55706,"+14 36 28 ",14.6078,"~ ",FALSE,26,27,0.090103970356473,21090,NA
"130",131,"[BKM2008] HA9Ic02-266l",25,"* ","04 28 27.5000",4.47431,"+15 42 23 ",15.7064,"~ ",FALSE,25,29,0.0392759276147619,21039,NA
"131",132,"[BKM2008] HB18c03-2563l",25,"* ","04 31 17.0000",4.52139,"+17 18.5 ",17.3083,"~ ",FALSE,25,33,0.0471999338982578,20899,NA
"132",133,"LP 415-67",75,"LM? ","04 25 16.5200",4.42126,"+16 18 08.6 ",16.3024,"~ ",FALSE,24,30,0.0778507919548678,20877,NA
"133",134,"Cl* Melotte 25 CFHT 20",75,"LM? ","04 30 38.7000",4.51075,"+13 09 57 ",13.1658,"~ ",FALSE,25,23,0.0603822764145251,21179,NA
"134",135,"LP 414-2008",75,"LM? ","04 17 32.2400",4.29229,"+16 56 59.1 ",16.9498,"~ ",FALSE,22,32,0.00268832308326097,20019,NA
"135",136,"[BKM2008] HB9Ic09-490l",25,"* ","04 24 49.0000",4.41361,"+14 18.5 ",14.3083,"~ ",FALSE,24,26,0.0928591557144463,20740,NA
"136",137,"[BKM2008] HA1Ic07-930l",25,"* ","04 26 05.2000",4.43478,"+15 49 26 ",15.8239,"~ ",FALSE,24,29,0.055152124936397,20605,NA
"137",138,"[BKM2008] HB1Ic03-1536l",25,"* ","04 26 20.8000",4.43911,"+17 28 22 ",17.4728,"~ ",FALSE,24,33,0.0472119582309388,20542,NA
"138",139,"2MASS J04291995+1419368",25,"* ","04 29 19.9500",4.48888,"+14 19 36.8 ",14.3269,"~ ",FALSE,25,26,0.0944442782808989,20827,NA
"139",140,"HR 1233",100,"*iC ","03 59 40.4983",3.99458,"+10 19 49.4209 ",10.3304,"F5V ",FALSE,17,17,2.82842712482752e-06,18658,NA
"140",141,"2MASS J04262583+1545029",25,"AB* ","04 26 25.8310",4.44051,"+15 45 02.96 ",15.7508,"~ ",FALSE,24,29,0.0516433314668992,20485,NA
"141",142,"2MASS J04285859+1517386",25,"* ","04 28 58.5900",4.48294,"+15 17 38.6 ",15.2941,"~ ",FALSE,25,28,0.0751726455035337,20810,NA
"142",143,"[BKM2008] HA6Ic01-2048l",25,"* ","04 29 20.0000",4.48889,"+16 29.8 ",16.4967,"~ ",FALSE,25,31,0.13783549320839,20877,NA
"143",144,"2MASS J04204957+1553323",25,"* ","04 20 49.5700",4.3471,"+15 53 32.3 ",15.8923,"~ ",FALSE,23,30,0.0415965600140197,20290,NA
"144",145,"V* V984 Tau",100,"BY* ","04 16 33.4779",4.27597,"+21 54 26.8946 ",21.9075,"G5 ",FALSE,22,43,3.12569992160266e-05,19934,NA
"145",146,"HD 23261",100,"*iC ","03 43 54.3405",3.73176,"+03 26 46.875 ",3.4464,"G5 ",FALSE,13,1,0.171138407436788,17207,NA
"146",147,"LP 415-142",75,"LM? ","04 30 04.2000",4.50117,"+16 04 06 ",16.0683,"~ ",FALSE,25,30,0.0812615656814465,21053,NA
"147",148,"2MASS J04174112+1701150",25,"* ","04 17 41.1200",4.29476,"+17 01 15.0 ",17.0208,"~ ",FALSE,22,32,0.0729435506470587,20019,NA
"148",149,"V* V920 Tau",100,"BY* ","04 28 48.2971",4.48008,"+17 17 07.6666 ",17.2855,"G2V ",FALSE,25,33,3.60555127525852e-05,20899,NA
"149",150,"[LHD94] 042434.9+140029",75,"LM? ","04 27 23.8000",4.45661,"+14 07 06.6 ",14.1185,"~ ",FALSE,24,25,0.0814818182541352,21132,NA
"150",151,"HD 27731",100,"*iC ","04 23 30.4008",4.39178,"+24 24 19.4522 ",24.4054,"F5 ",TRUE,23,49,2.82842712325743e-06,20491,20491
"151",152,"[BKM2008] HA5Ic01-385l",25,"* ","04 29 34.0000",4.49278,"+16 07.4 ",16.1233,"~ ",FALSE,25,30,0.0324617432834411,21053,NA
"152",154,"2MASS J04174850+1655589",25,"* ","04 17 48.5000",4.29681,"+16 55 58.9 ",16.933,"~ ",FALSE,22,32,0.0150952138441307,20019,NA
"153",155,"2MASS J04303535+1445320",25,"* ","04 30 35.3500",4.50982,"+14 45 32.0 ",14.7589,"~ ",FALSE,25,27,0.0408017632584678,20873,NA
"154",156,"[BKM2008] HC21c11-74l",25,"* ","04 36 46.1000",4.61281,"+14 19 37 ",14.3269,"~ ",FALSE,27,26,0.0279194281460072,21542,NA
"155",157,"[BKM2008] HC06c02-152l",25,"* ","04 19 22.0000",4.32278,"+18 34.7 ",18.5783,"~ ",FALSE,22,36,0.0826837242025303,19847,NA
"156",158,"HD 29225",100,"*iC ","04 36 40.7226",4.61131,"+15 52 09.5861 ",15.8693,"F8 ",TRUE,27,29,2.90688837071301e-05,21474,21474
"157",159,"Cl* Melotte 25 VA 477",25,"*iC ","04 28 14.2000",4.47061,"+16 58 00 ",16.9667,"~ ",FALSE,25,32,0.0660903620280619,20756,NA
"158",160,"LP 475-56",75,"LM? ","04 24 31.5000",4.40875,"+13 55 41 ",13.9281,"~ ",FALSE,24,25,0.0843658056620104,20850,NA
"159",162,"[BKM2008] HC14c01-607l",25,"* ","04 29 22.7000",4.48964,"+14 19 10 ",14.3194,"~ ",FALSE,25,26,0.101874955607352,20827,NA
"160",163,"V* V992 Tau",100,"BY* ","04 26 05.8601",4.43496,"+15 31 27.600 ",15.5243,"G0 ",FALSE,24,29,0.0695406544763563,20815,NA
"161",164,"HD 30810",100,"* ","04 51 12.5335",4.85348,"+11 04 04.8862 ",11.068,"F6V ",TRUE,30,18,2.60768096208452e-05,22550,22550
"162",165,"2MASS J04190576+1734235",75,"LM? ","04 19 05.7700",4.31827,"+17 34 23.5 ",17.5732,"~ ",FALSE,22,33,0.0484549795377111,20146,NA
"163",166,"[BKM2008] HB7Ic04-1273l",25,"* ","04 22 19.2000",4.372,"+15 25 54 ",15.4317,"~ ",FALSE,23,28,0.109399981316269,20810,NA
"164",167,"[BKM2008] HC24c02-487s",25,"* ","04 35 10.4000",4.58622,"+14 12 51 ",14.2142,"~ ",FALSE,26,26,0.0823604200207847,21132,NA
"165",168,"Cl* Melotte 25 HAN 393",25,"*iC ","04 26 53.3200",4.44814,"+17 36 49.2 ",17.6137,"~ ",FALSE,24,34,0.0800105032730097,20935,NA
"166",169,"[BKM2008] HC03c04-2872l",25,"* ","04 26 06.5000",4.43514,"+18 20 25 ",18.3403,"~ ",FALSE,24,35,0.107856940666792,20336,NA
"167",170,"LP 19-731",100,"PM* ","04 30 17.9716",4.50499,"+19 50 26.0745 ",19.8406,"F5 ",FALSE,25,39,2.40831891573367e-05,21008,NA
"168",171,"* 101 Tau",100,"*i* ","04 59 44.3224",4.99565,"+15 55 00.2363 ",15.9167,"F5V ",FALSE,33,30,3.43656805544104e-05,23214,NA
"169",172,"HD 27848",100,"*iC ","04 24 22.2714",4.40619,"+17 04 44.2289 ",17.079,"F8 ",TRUE,24,32,4.90917508351363e-05,20567,20567
"170",173,"[BKM2008] HB17c06-999l",25,"* ","04 30 13.2000",4.50367,"+16 43 09 ",16.7192,"~ ",FALSE,25,31,0.0465590829054868,20978,NA
"171",174,"[BKM2008] HB4Ic08-756l",25,"* ","04 21 04.7000",4.35131,"+16 22 45 ",16.3792,"~ ",FALSE,23,31,0.144695102090566,20215,NA
"172",176,"HD 27808",100,"*iC ","04 24 14.5743",4.40405,"+21 44 10.4811 ",21.7362,"F8V ",TRUE,24,43,4.4011362168379e-05,20557,20557
"173",177,"[BKM2008] HB17c07-1416l",25,"* ","04 30 29.7000",4.50825,"+16 44 45 ",16.7458,"~ ",FALSE,25,31,0.0637814689780662,20741,NA
"174",178,"HD 20439",100,"*iC ","03 17 32.7814",3.29244,"+07 41 24.5557 ",7.6902,"G0 ",TRUE,7,10,4.80104155362381e-05,15310,15310
"175",179,"[BKM2008] HA2Ic04-474l",25,"* ","04 27 22.0000",4.45611,"+16 34.2 ",16.57,"~ ",FALSE,24,31,0.111567946476576,20978,NA
"176",180,"V* V985 Tau",100,"BY* ","04 18 19.2722",4.30535,"+16 05 18.0306 ",16.0883,"K0 ",FALSE,22,30,4.11946598476622e-05,20082,NA
"177",181,"LP 475-9",75,"LM? ","04 20 56.0500",4.3489,"+14 51 34.6 ",14.8596,"~ ",FALSE,23,27,0.115140496998232,20553,NA
"178",182,"V* V911 Tau",100,"BY* ","04 26 40.1215",4.44448,"+16 44 48.8394 ",16.7469,"G2V ",FALSE,24,31,2.23606797820955e-06,20741,NA
